Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
Bullets Over Broadway,1994,Woody Allen,98,20000000,13383737,86,67,29385,7.5,1.62,32400000,21681653.94
Clear and Present Danger,1994,Phillip Noyce,141,62000000,122012710,133,42,69663,6.9,1.62,100440000,197660590.2
Clerks,1994,Kevin Smith,102,230000,3151130,615,136,181749,7.8,1.62,372600,5104830.6
Crooklyn,1994,Spike Lee,115,14000000,13640000,39,25,6011,6.9,1.62,22680000,22096800
Disclosure,1994,Barry Levinson,128,55000000,83000000,95,55,36587,6,1.62,89100000,134460000
Don Juan DeMarco,1994,Jeremy Leven,97,25000000,22200000,117,44,41310,6.8,1.62,40500000,35964000
Dumb & Dumber,1994,Peter Farrelly,113,16000000,127175354,438,84,288451,7.3,1.62,25920000,206024073.5
Ed Wood,1994,Tim Burton,127,18000000,5887457,420,148,142416,7.9,1.62,29160000,9537680.34
Forrest Gump,1994,Robert Zemeckis,142,55000000,329691196,1398,149,1251222,8.8,1.62,89100000,534099737.5
Hoop Dreams,1994,Steve James,170,700000,7830611,74,53,18980,8.3,1.62,1134000,12685589.82
Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,123,60000000,105264608,406,120,239752,7.6,1.62,97200000,170528665
Legends of the Fall,1994,Edward Zwick,133,30000000,66528842,329,57,112175,7.5,1.62,48600000,107776724
Little Women,1994,Gillian Armstrong,115,15000000,50003300,132,27,36624,7.3,1.62,24300000,81005346
Naked Gun 33 1/3: The Final Insult,1994,Peter Segal,83,30000000,51109400,85,43,76850,6.4,1.62,48600000,82797228
New Nightmare,1994,Wes Craven,107,8000000,18090181,271,109,38191,6.4,1.62,12960000,29306093.22
On Deadly Ground,1994,Steven Seagal,101,50000000,38590500,140,47,17997,4.4,1.62,81000000,62516610
PCU,1994,Hart Bochner,79,8000000,4350774,52,15,10476,6.5,1.62,12960000,7048253.88
Police Academy: Mission to Moscow,1994,Alan Metter,83,6200000,126247,103,17,24958,3.3,1.62,10044000,204520.14
Pulp Fiction,1994,Quentin Tarantino,178,8000000,107930000,2195,215,1324680,8.9,1.62,12960000,174846600
