subject,riskyScenario,riskThoughts,stress,riskPerception,riskTaking,SR,IR,STAI
53,2,3.666666667,3,6,5,45,34,47
53,3,5,9,9,3,45,34,47
53,4,3.333333333,6,6,4,45,34,47
53,5,3.333333333,7,7,4,45,34,47
53,6,4.333333333,5,5,5,45,34,47
53,7,4.666666667,10,10,2,45,34,47
53,8,4.666666667,8,8,4,45,34,47
53,9,4.333333333,9,8,4,45,34,47
53,10,4,8,9,1,45,34,47
54,1,3.666666667,6,8,3,24,23,27
54,2,2.333333333,2,2,4,24,23,27
54,3,4,6,6,3,24,23,27
54,4,4,3,4,3,24,23,27
54,5,4,8,8,4,24,23,27
54,6,3,3,4,4,24,23,27
54,7,4,6,6,3,24,23,27
54,8,4,5,6,4,24,23,27
54,9,3,5,6,4,24,23,27
54,10,3.666666667,4,6,4,24,23,27
55,1,3.666666667,8,7,4,18,28,25
55,2,1,3,2,5,18,28,25
55,3,5,9,9,1,18,28,25
55,4,2.333333333,6,7,4,18,28,25
55,5,5,10,10,2,18,28,25
55,6,1.666666667,7,6,4,18,28,25
55,7,2.666666667,7,8,3,18,28,25
55,8,5,8,10,4,18,28,25
55,9,2,7,8,4,18,28,25
55,10,2.666666667,8,9,4,18,28,25
56,1,3.666666667,7,8,3,30,28,37
56,2,2.333333333,6,6,2,30,28,37
56,3,1.333333333,10,9,1,30,28,37
56,4,3.666666667,8,8,2,30,28,37
56,5,4.333333333,9,9,1,30,28,37
56,6,3.666666667,7,7,4,30,28,37
56,7,4,9,9,1,30,28,37
56,8,4,8,8,4,30,28,37
56,9,3.666666667,6,6,4,30,28,37
56,10,4.333333333,9,9,1,30,28,37
57,1,2.666666667,7,10,1,23,17,31
57,2,3.333333333,4,4,3,23,17,31
57,3,4,10,10,1,23,17,31
57,4,2.333333333,8,6,3,23,17,31
57,5,3.666666667,10,10,1,23,17,31
57,6,4.333333333,5,4,1,23,17,31
57,7,4.666666667,9,9,1,23,17,31
57,8,3,10,10,1,23,17,31
57,9,3.333333333,10,10,1,23,17,31
57,10,3,10,10,2,23,17,31
58,1,4,10,9,4,26,29,50
58,2,2.333333333,1,3,4,26,29,50
58,3,3.333333333,9,7,4,26,29,50
58,4,2.333333333,6,5,4,26,29,50
58,5,4.666666667,10,10,4,26,29,50
58,6,2,1,2,5,26,29,50
58,7,3.666666667,9,10,1,26,29,50
58,8,4.666666667,10,10,1,26,29,50
58,9,4.666666667,10,10,2,26,29,50
58,10,3.666666667,10,10,1,26,29,50
59,1,4.333333333,8,10,1,30,26,33
59,2,4.333333333,7,7,2,30,26,33
59,3,4.666666667,9,10,2,30,26,33
59,4,2.666666667,6,6,2,30,26,33
59,5,4,5,7,4,30,26,33
59,6,1.666666667,5,4,4,30,26,33
59,7,2.666666667,5,6,3,30,26,33
59,8,4,7,9,4,30,26,33
59,9,2,6,7,3,30,26,33
59,10,2.666666667,8,8,2,30,26,33
60,1,4,8,3,4,39,30,40
60,2,1.666666667,2,5,5,39,30,40
60,3,1.666666667,3,6,5,39,30,40
60,4,3.333333333,8,7,1,39,30,40
60,5,4.333333333,9,9,2,39,30,40
60,6,2.333333333,3,4,5,39,30,40
60,7,3.666666667,8,8,2,39,30,40
60,8,3.666666667,6,9,4,39,30,40
60,9,3.666666667,7,6,3,39,30,40
60,10,3.333333333,7,9,2,39,30,40
