group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,608,1,5,15,1,1,1,1,1,0,-9,0,1,-9,0,-9,-9,-9,0,-9
1,673,2,4,11,1,-9,1,1,1,1,1,1,1,-9,-9,0,-9,-9,-9,0
1,775,2,4,12,1,0,1,1,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,899,1,4,15,1,-9,1,1,-9,1,-9,0,1,-9,-9,0,-9,-9,-9,-9
1,708,2,4,11,-9,-9,1,1,-9,-9,-9,-9,1,-9,-9,-9,-9,-9,-9,-9
1,709,2,4,12,1,1,1,1,1,1,1,0,1,1,0,-9,-9,-9,-9,-9
1,477,2,5,13,1,-9,1,1,-9,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,808,2,4,12,1,1,1,1,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9
1,843,1,4,13,1,0,1,1,1,1,1,1,0,0,0,-9,-9,-9,-9,-9
1,828,1,4,13,-9,1,1,1,0,1,1,1,0,0,0,-9,-9,-9,-9,-9
1,115,2,6,13,1,-9,1,1,-9,1,-9,0,-9,-9,-9,-9,-9,-9,-9,-9
1,651,2,4,14,0,0,0,1,-9,-9,1,0,-9,-9,-9,-9,-9,-9,-9,-9
1,537,1,5,13,1,0,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,772,2,4,12,-9,1,1,1,-9,1,-9,0,-9,-9,-9,-9,-9,-9,-9,-9
1,756,1,4,12,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9
1,787,1,4,12,1,1,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,784,1,4,12,1,-9,1,1,0,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,422,1,5,13,1,-9,1,1,1,0,-9,1,1,-9,-9,0,-9,-9,-9,-9
1,276,2,6,14,1,1,1,1,1,1,1,0,1,1,-9,0,-9,-9,-9,0
1,736,1,4,12,1,0,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,720,1,4,12,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9
1,572,2,5,14,-9,-9,1,1,0,1,1,1,1,0,-9,0,-9,-9,-9,-9
1,764,1,4,12,1,1,1,1,1,-9,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,371,2,6,15,0,0,1,1,0,0,1,1,1,0,-9,0,-9,-9,-9,-9
1,888,2,4,14,1,-9,1,1,-9,1,-9,0,1,-9,-9,-9,-9,-9,-9,-9
1,333,2,6,15,1,1,1,1,0,0,1,0,1,0,-9,-9,-9,-9,-9,-9
1,812,2,4,12,-9,-9,0,1,-9,0,0,1,0,0,-9,-9,-9,-9,-9,-9
1,752,1,4,12,1,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,809,1,4,12,0,0,1,1,0,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9
1,283,1,6,14,1,1,1,1,1,1,1,1,1,1,-9,0,1,1,0,-9
1,260,2,6,14,1,1,1,1,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,270,2,6,14,1,1,1,1,1,1,1,1,1,0,-9,0,0,-9,-9,-9
1,143,2,6,14,1,1,1,1,-9,1,1,1,1,1,1,1,-9,-9,-9,-9
1,695,1,4,11,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9,-9
1,225,2,6,14,1,1,1,1,1,0,1,1,1,1,1,1,1,-9,0,-9
1,193,1,6,14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-9,-9
1,272,1,6,14,1,1,1,1,0,1,1,0,1,-9,1,0,-9,-9,-9,-9
1,396,2,6,16,1,0,1,1,1,-9,-9,0,1,-9,-9,-9,-9,-9,-9,-9
1,869,1,4,13,0,1,1,1,0,-9,0,0,1,-9,1,-9,-9,-9,-9,-9
1,633,2,4,12,1,0,1,1,0,0,1,1,1,0,0,0,-9,-9,-9,-9
1,332,1,6,15,1,1,1,1,1,1,1,1,1,1,1,0,0,-9,0,0
1,122,1,6,13,1,1,1,1,0,1,1,1,1,0,0,1,1,-9,0,-9
1,50,1,6,13,1,1,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9
1,210,2,6,14,1,1,1,1,-9,1,1,-9,1,1,1,-9,-9,0,-9,-9
1,506,2,5,13,1,-9,1,1,-9,1,1,0,1,-9,0,1,-9,0,-9,0
1,284,2,6,14,1,0,1,1,1,0,0,0,1,-9,0,0,0,0,-9,0
1,887,1,4,14,1,-9,1,1,-9,0,-9,0,1,0,-9,-9,-9,-9,-9,-9
