ID,VaccEndorse,PreferCAM,SpiritKnow,StrongFaith,NoRelig,CRT,Openness
566,3,1,1,1,0,1,12
570,3,2,2,1,0,0,11
572,3,1,1,0,0,0,2
576,3,3,6,0,0,3,13
580,3,7,7,0,0,0,14
582,3,6,3,1,0,0,13
585,3,1,4,1,0,0,12
586,3,3,2,0,0,1,14
587,3,1,6,1,0,0,13
589,3,1,7,0,0,0,12
590,3,3,4,1,0,0,12
591,3,5,7,1,0,0,13
592,3,1,7,1,0,0,14
593,3,1,1,0,0,0,14
594,3,1,4,0,0,1,7
595,3,1,5,0,0,0,14
602,3,1,2,1,0,0,14
603,3,1,5,0,0,0,12
607,3,4,6,1,0,0,14
610,3,1,1,1,0,1,13
611,3,1,5,0,0,0,8
612,3,1,4,0,0,0,9
617,3,1,2,1,0,0,7
618,3,4,3,0,0,0,14
619,3,1,2,1,0,0,9
624,3,1,1,0,0,0,13
626,3,4,1,0,0,1,13
628,3,2,7,0,0,3,10
629,3,1,7,1,0,0,12
630,3,3,7,0,1,1,13
631,3,6,4,1,0,1,6
633,3,1,2,1,0,0,12
635,3,2,7,0,0,3,14
638,3,1,1,1,0,1,14
643,3,1,5,1,0,0,14
650,3,4,2,1,0,0,12
653,3,6,7,0,0,0,13
655,3,5,6,0,0,0,14
657,3,2,2,0,0,0,10
658,3,1,5,0,0,2,11
660,3,3,3,1,0,0,11
661,3,1,7,1,0,0,11
662,3,1,5,1,0,0,12
663,3,1,5,1,0,0,12
666,3,1,7,0,0,0,14
667,3,2,1,0,0,0,10
668,3,4,7,0,0,1,13
669,3,3,3,0,0,0,12
670,3,2,1,1,0,1,12
675,3,7,1,1,0,1,13
676,3,6,5,1,0,2,14
677,3,3,7,1,0,0,14
678,3,5,2,0,1,1,14
680,3,2,1,0,0,0,12
688,3,2,3,0,0,0,11
689,3,2,2,1,0,0,10
692,3,3,3,0,0,0,12
693,3,1,4,1,0,1,10
695,3,2,4,0,0,0,12
696,3,1,6,0,0,0,13
698,3,2,3,1,0,0,7
699,3,1,2,1,0,0,6
700,3,1,7,0,0,0,12
701,3,1,1,1,0,0,6
703,3,2,4,1,0,0,14
704,3,1,6,0,0,0,12
705,3,1,5,1,0,2,13
706,3,2,1,0,0,0,12
710,3,1,3,0,0,2,11
715,3,1,1,1,0,0,9
716,3,1,6,0,0,0,11
722,3,1,2,1,0,0,13
723,3,3,1,0,0,0,12
724,3,3,3,0,0,0,11
725,3,2,5,0,0,0,12
726,3,1,1,0,0,1,12
728,3,1,6,1,0,0,12
730,3,2,2,1,0,0,13
731,3,1,5,1,0,2,12
734,3,3,4,1,0,1,10
736,3,1,5,0,0,0,10
738,3,2,4,0,0,2,9
740,3,3,4,1,0,1,14
742,3,1,6,1,0,2,8
744,3,6,3,0,0,1,11
746,3,1,3,1,0,1,12
749,3,2,3,1,0,2,8
750,3,4,4,0,0,0,6
751,3,1,4,0,0,2,10
754,3,1,5,1,0,0,7
758,3,6,2,0,0,1,12
760,3,1,2,1,0,0,13
761,3,2,2,1,0,0,8
763,3,1,7,0,0,3,13
765,3,3,2,0,0,1,14
767,3,1,6,0,0,0,7
769,3,1,2,0,0,0,11
771,3,1,1,1,0,0,6
773,3,1,3,0,0,0,11
776,3,1,7,0,0,1,14
777,3,3,3,0,0,0,7
779,3,1,4,0,0,0,12
781,3,3,6,1,0,2,14
786,3,1,3,0,0,0,7
787,3,5,4,0,0,0,10
788,3,1,1,0,0,0,10
789,3,4,6,0,0,0,10
790,3,1,3,1,0,1,14
791,3,1,6,0,0,0,12
797,3,1,7,0,0,0,14
798,3,1,3,0,0,0,14
802,3,7,7,1,0,0,14
804,3,4,1,1,0,0,10
806,3,1,1,0,0,0,7
808,3,1,7,1,0,1,10
809,3,1,2,0,0,0,6
810,3,1,2,1,0,0,12
811,3,3,5,1,0,0,11
812,3,1,7,1,0,0,14
813,3,1,1,0,0,0,11
817,3,1,7,1,0,0,14
818,3,1,3,1,0,1,11
819,3,1,6,0,0,0,14
823,3,1,2,1,0,0,13
824,3,1,3,0,0,0,10
828,3,1,5,0,0,2,11
829,3,1,6,1,0,0,11
832,3,4,3,1,0,3,13
834,3,1,7,0,0,0,13
836,3,1,3,0,0,1,8
840,3,1,5,0,0,2,14
842,3,1,4,1,0,2,10
844,3,1,7,0,1,0,2
845,3,2,3,1,0,0,12
847,3,2,1,1,0,0,13
848,3,5,6,0,0,1,9
849,3,1,7,1,0,0,14
850,3,2,6,0,0,0,13
851,3,1,1,1,0,0,14
852,3,6,5,0,0,0,12
856,3,1,1,1,0,0,13
857,3,6,2,1,0,0,13
858,3,1,5,0,0,1,13
860,3,1,3,1,0,0,10
862,3,5,4,0,0,0,6
863,3,5,5,0,0,0,7
868,3,7,4,0,0,0,12
870,3,1,5,0,0,0,9
872,3,4,7,1,0,1,7
873,3,6,6,0,0,1,12
874,3,1,5,0,0,2,13
876,3,1,2,1,0,1,14
879,3,1,3,0,0,0,5
882,3,1,5,0,0,0,10
884,3,1,4,1,0,0,11
885,3,1,5,1,0,0,5
886,3,6,3,1,0,0,14
888,3,1,5,0,0,0,7
892,3,1,1,1,0,0,14
893,3,3,1,0,0,0,14
894,3,1,7,1,0,0,14
896,3,2,4,0,0,0,11
897,3,1,1,0,0,0,6
898,3,1,1,1,0,1,7
899,3,3,3,1,0,1,11
902,3,2,4,1,0,0,11
906,3,3,3,1,0,1,12
908,3,6,4,1,0,0,11
909,3,5,3,1,0,0,6
911,3,3,2,0,0,0,13
912,3,5,6,1,0,0,13
913,3,1,6,1,0,0,14
914,3,1,5,0,0,1,10
916,3,1,2,1,0,0,8
919,3,1,7,1,0,2,9
920,3,1,3,1,0,0,11
922,3,3,3,0,0,0,9
923,3,2,2,0,0,0,11
924,3,1,5,1,0,0,9
926,3,1,2,1,0,0,9
929,3,1,7,1,0,0,14
931,3,1,5,0,0,1,8
934,3,1,6,1,0,1,10
937,3,1,2,1,0,0,9
938,3,2,2,0,0,1,12
939,3,1,7,1,0,0,10
941,3,3,6,1,0,0,11
944,3,2,7,0,0,0,9
948,3,2,5,1,0,0,13
949,3,1,1,1,0,0,12
950,3,1,2,1,0,0,12
952,3,1,3,0,0,0,12
954,3,1,2,1,0,0,8
955,3,6,2,0,0,0,11
957,3,7,5,0,0,2,9
958,3,7,1,0,0,0,12
960,3,1,7,0,0,0,13
963,3,6,7,1,0,0,13
965,3,2,5,1,0,0,14
966,3,1,1,1,0,0,14
970,3,2,1,0,0,0,12
975,3,5,3,0,0,2,7
976,3,1,1,1,0,0,13
979,3,2,1,0,0,1,14
982,3,4,5,1,0,1,12
983,3,1,2,1,0,0,7
984,3,2,7,0,0,2,11
985,3,3,4,1,0,0,12
986,3,7,5,1,0,0,9
994,3,3,7,0,0,0,12
996,3,6,7,1,0,0,13
998,3,2,2,0,0,0,8
1001,3,2,2,0,0,0,10
1003,3,2,4,0,0,0,12
1006,3,6,2,0,0,0,12
1007,3,7,7,1,0,0,14
1008,3,1,1,1,0,0,8
1012,3,7,1,0,1,2,12
1015,3,1,7,1,0,0,8
1016,3,1,5,0,0,0,14
1018,3,2,6,1,0,0,14
1019,3,3,1,1,0,0,14
1020,3,1,3,0,0,2,8
1022,3,5,6,1,0,0,13
1023,3,6,6,0,0,0,14
1033,3,1,7,0,0,0,12
1034,3,1,1,1,0,0,10
1036,3,4,3,0,0,2,12
1037,3,7,2,1,0,0,14
1038,3,2,3,0,0,0,14
1039,3,4,6,0,0,0,14
1045,3,1,7,0,0,1,13
1046,3,2,1,0,0,1,8
1047,3,1,5,0,0,0,3
1052,3,1,6,1,0,0,13
1054,3,7,5,1,0,0,13
1055,3,1,1,1,0,0,14
1059,3,1,7,0,0,3,13
1062,3,2,4,0,0,0,8
1063,3,2,6,1,0,0,12
1064,3,1,7,1,0,0,10
1065,3,2,6,1,0,0,9
1071,3,4,1,0,0,0,14
1074,3,3,5,1,0,0,14
1077,3,7,6,0,0,0,9
1079,3,6,1,1,0,0,7
1083,3,1,1,1,0,1,12
1084,3,2,4,0,0,1,10
1085,3,1,1,1,0,0,5
1091,3,6,4,0,0,0,7
1094,3,1,4,0,0,0,14
1096,3,3,7,1,0,1,14
1097,3,1,1,1,0,0,11
1100,3,1,6,1,0,2,12
1101,3,1,6,0,0,0,14
1102,3,2,7,1,0,0,8
1103,3,6,1,0,0,1,10
