Subject,Change,Ndist,Correct,Reaction,MMI
4,0,2,1,902,1.888888889
4,1,4,1,901,1.888888889
4,1,6,1,902,1.888888889
4,0,0,1,670,1.888888889
4,0,6,1,878,1.888888889
4,0,4,1,1021,1.888888889
4,1,2,1,822,1.888888889
4,0,6,1,592,1.888888889
4,1,4,0,647,1.888888889
4,0,2,1,925,1.888888889
4,1,6,1,861,1.888888889
4,0,4,1,590,1.888888889
4,1,0,1,911,1.888888889
4,0,6,1,590,1.888888889
4,0,0,1,733,1.888888889
4,1,6,1,495,1.888888889
4,1,4,1,750,1.888888889
4,1,2,1,1030,1.888888889
4,0,2,1,711,1.888888889
4,1,0,1,790,1.888888889
4,0,4,1,734,1.888888889
4,1,2,1,942,1.888888889
4,0,0,1,892,1.888888889
4,0,0,1,891,1.888888889
4,1,4,1,718,1.888888889
4,1,4,1,702,1.888888889
4,0,4,1,734,1.888888889
4,1,2,1,638,1.888888889
4,0,0,1,856,1.888888889
4,0,2,1,786,1.888888889
4,1,2,1,806,1.888888889
4,1,6,1,696,1.888888889
4,0,6,1,774,1.888888889
4,0,6,1,710,1.888888889
4,1,0,1,742,1.888888889
4,1,6,0,614,1.888888889
4,0,2,1,861,1.888888889
4,1,0,1,822,1.888888889
4,0,4,1,861,1.888888889
4,1,0,1,803,1.888888889
4,0,6,1,1083,1.888888889
4,0,2,0,662,1.888888889
4,0,4,1,1044,1.888888889
4,1,4,1,1207,1.888888889
4,1,2,1,974,1.888888889
4,1,2,1,1021,1.888888889
4,1,6,1,886,1.888888889
4,0,2,1,1014,1.888888889
4,0,4,1,805,1.888888889
4,0,6,1,980,1.888888889
4,1,4,1,1534,1.888888889
4,0,0,1,743,1.888888889
4,1,6,1,1037,1.888888889
4,0,0,1,733,1.888888889
4,1,0,1,956,1.888888889
4,1,2,1,746,1.888888889
4,0,0,1,733,1.888888889
4,1,0,1,902,1.888888889
4,0,4,1,622,1.888888889
4,1,2,0,1996,1.888888889
4,0,2,1,1029,1.888888889
4,1,6,1,1413,1.888888889
4,1,4,1,895,1.888888889
4,1,0,1,613,1.888888889
4,1,4,1,725,1.888888889
4,1,6,1,606,1.888888889
4,0,4,1,790,1.888888889
4,0,0,1,606,1.888888889
4,0,2,1,1133,1.888888889
4,0,6,1,1085,1.888888889
4,0,6,1,1006,1.888888889
4,1,0,1,886,1.888888889
4,0,4,1,830,1.888888889
4,0,0,1,638,1.888888889
4,0,2,1,598,1.888888889
4,1,6,1,949,1.888888889
4,1,2,1,765,1.888888889
4,1,2,1,750,1.888888889
4,0,6,1,805,1.888888889
4,1,0,1,775,1.888888889
4,0,2,1,598,1.888888889
4,0,6,1,1086,1.888888889
4,1,6,1,637,1.888888889
4,1,4,1,895,1.888888889
4,0,4,1,1261,1.888888889
4,1,4,1,542,1.888888889
4,0,0,1,830,1.888888889
4,1,6,1,1377,1.888888889
4,0,0,1,726,1.888888889
4,0,2,1,501,1.888888889
4,0,0,1,838,1.888888889
4,1,2,1,587,1.888888889
4,1,0,1,1319,1.888888889
4,0,6,1,853,1.888888889
4,0,4,1,629,1.888888889
4,1,4,1,509,1.888888889
4,1,0,1,606,1.888888889
4,1,2,1,662,1.888888889
4,1,6,1,501,1.888888889
4,1,4,1,781,1.888888889
4,0,2,1,854,1.888888889
4,0,6,1,701,1.888888889
4,0,4,1,581,1.888888889
4,0,2,1,510,1.888888889
4,1,6,1,854,1.888888889
4,0,2,1,1006,1.888888889
4,1,0,1,1573,1.888888889
4,1,0,1,846,1.888888889
4,0,6,1,702,1.888888889
4,0,0,1,563,1.888888889
4,0,4,1,934,1.888888889
4,1,2,1,758,1.888888889
4,1,4,1,870,1.888888889
4,0,0,1,1270,1.888888889
4,1,2,1,558,1.888888889
4,0,6,1,1065,1.888888889
4,1,4,1,726,1.888888889
4,1,6,1,791,1.888888889
4,0,4,1,1269,1.888888889
4,1,6,1,866,1.888888889
4,1,4,0,1526,1.888888889
4,0,0,1,645,1.888888889
4,0,2,1,736,1.888888889
4,0,6,1,967,1.888888889
4,0,4,1,742,1.888888889
4,1,0,0,781,1.888888889
4,1,2,1,895,1.888888889
4,0,0,1,720,1.888888889
4,1,4,1,789,1.888888889
4,0,6,0,1996,1.888888889
4,0,2,0,910,1.888888889
4,1,6,1,931,1.888888889
4,1,2,1,773,1.888888889
4,1,0,1,636,1.888888889
4,0,4,1,1189,1.888888889
4,1,6,1,698,1.888888889
4,1,4,1,573,1.888888889
4,0,0,1,533,1.888888889
4,1,2,1,1136,1.888888889
4,0,0,1,565,1.888888889
4,1,0,1,495,1.888888889
4,0,4,1,637,1.888888889
4,0,6,1,662,1.888888889
4,0,4,1,767,1.888888889
4,1,2,1,933,1.888888889
4,1,6,1,1078,1.888888889
4,1,0,1,749,1.888888889
4,0,2,1,1157,1.888888889
4,0,6,1,591,1.888888889
4,1,4,1,750,1.888888889
4,0,2,0,1996,1.888888889
4,1,2,1,850,1.888888889
4,0,0,1,575,1.888888889
4,1,0,1,566,1.888888889
4,1,6,1,1405,1.888888889
4,0,2,1,669,1.888888889
4,1,4,1,719,1.888888889
4,0,6,1,910,1.888888889
4,0,4,1,1069,1.888888889
5,1,0,1,1105,2.222222222
5,1,6,0,664,2.222222222
5,0,0,1,562,2.222222222
5,0,6,1,1155,2.222222222
5,1,4,1,929,2.222222222
5,0,2,1,625,2.222222222
5,0,2,1,640,2.222222222
5,0,4,1,567,2.222222222
5,1,2,0,1833,2.222222222
5,1,6,1,1032,2.222222222
5,0,6,1,623,2.222222222
5,0,4,1,512,2.222222222
5,1,4,0,1167,2.222222222
5,1,2,1,1320,2.222222222
5,0,0,1,783,2.222222222
5,1,0,1,1392,2.222222222
5,1,2,1,1144,2.222222222
5,1,0,0,736,2.222222222
5,0,4,0,902,2.222222222
5,1,6,0,975,2.222222222
5,0,0,1,1097,2.222222222
5,0,6,1,680,2.222222222
5,1,6,1,1016,2.222222222
5,0,2,1,759,2.222222222
5,1,4,0,1128,2.222222222
5,1,0,1,1456,2.222222222
5,1,4,1,1359,2.222222222
5,0,2,1,632,2.222222222
5,0,4,1,936,2.222222222
5,0,0,1,808,2.222222222
5,1,2,1,969,2.222222222
5,0,6,1,586,2.222222222
5,0,0,1,677,2.222222222
5,0,6,1,569,2.222222222
