Subject,Session,Trial,Accuracy,Target,Distractor,Pair,Distance,JointRank
2,22,103,1,5,9,30,4,14
2,22,104,1,1,5,4,4,6
2,22,105,1,2,3,9,1,5
2,22,106,1,2,4,10,2,6
2,22,107,1,2,5,11,3,7
2,22,108,1,2,6,12,4,8
2,22,109,1,2,8,14,6,10
2,22,110,1,4,8,25,4,12
2,22,111,1,3,8,20,5,11
2,22,112,1,1,9,8,8,10
2,22,113,1,1,3,2,2,4
2,22,114,0,4,5,22,1,9
2,22,115,1,2,6,12,4,8
2,22,116,1,3,5,17,2,8
2,22,117,1,2,3,9,1,5
2,22,118,1,5,8,29,3,13
2,22,119,0,5,6,27,1,11
2,22,120,1,8,9,36,1,17
2,22,121,0,6,8,32,2,14
2,22,122,1,7,8,34,1,15
2,22,123,1,2,9,15,7,11
2,22,124,1,3,4,16,1,7
2,22,125,0,6,9,33,3,15
2,22,126,1,4,9,26,5,13
2,22,127,1,2,4,10,2,6
2,22,128,1,3,9,21,6,12
2,22,129,1,1,8,7,7,9
2,22,130,0,5,7,28,2,12
2,22,131,1,1,7,6,6,8
2,22,132,1,1,4,3,3,5
2,22,133,1,4,7,24,3,11
2,22,134,1,4,6,23,2,10
2,22,135,1,3,7,19,4,10
2,22,136,0,5,9,30,4,14
2,22,137,1,2,5,11,3,7
2,22,138,1,1,5,4,4,6
2,22,139,0,6,7,31,1,13
2,22,140,1,1,6,5,5,7
2,22,141,1,3,6,18,3,9
2,22,142,0,1,2,1,1,3
2,22,143,1,2,7,13,5,9
2,22,144,1,7,9,35,2,16
2,23,1,0,6,7,31,1,13
2,23,2,0,4,8,25,4,12
2,23,3,1,1,4,3,3,5
2,23,4,1,1,5,4,4,6
2,23,5,0,8,9,36,1,17
2,23,6,1,1,2,1,1,3
2,23,7,1,1,8,7,7,9
2,23,8,1,3,6,18,3,9
2,23,9,1,2,4,10,2,6
2,23,10,0,5,6,27,1,11
2,23,11,1,3,7,19,4,10
2,23,12,0,6,8,32,2,14
2,23,13,1,5,7,28,2,12
2,23,14,1,2,5,11,3,7
2,23,15,1,3,8,20,5,11
2,23,16,0,4,6,23,2,10
2,23,17,1,3,9,21,6,12
2,23,18,0,4,7,24,3,11
2,23,19,1,2,7,13,5,9
2,23,20,1,2,9,15,7,11
2,23,21,1,6,9,33,3,15
2,23,22,1,2,3,9,1,5
2,23,23,0,1,3,2,2,4
2,23,24,1,2,8,14,6,10
2,23,25,1,2,6,12,4,8
2,23,26,1,1,6,5,5,7
2,23,27,0,7,9,35,2,16
2,23,28,1,5,8,29,3,13
2,23,29,1,5,9,30,4,14
2,23,30,0,4,5,22,1,9
2,23,31,1,3,4,16,1,7
2,23,32,1,3,5,17,2,8
2,23,33,1,1,7,6,6,8
2,23,34,0,7,8,34,1,15
2,23,35,1,4,9,26,5,13
2,23,36,1,1,9,8,8,10
2,23,37,1,4,9,26,5,13
2,23,38,1,5,7,28,2,12
2,23,39,0,3,4,16,1,7
2,23,40,1,7,8,34,1,15
2,23,41,1,1,7,6,6,8
2,23,42,0,4,7,24,3,11
2,23,43,0,1,3,2,2,4
2,23,44,1,4,8,25,4,12
2,23,45,1,7,9,35,2,16
2,23,46,0,4,5,22,1,9
2,23,47,1,2,4,10,2,6
2,23,48,1,5,8,29,3,13
2,23,49,1,6,9,33,3,15
2,23,50,1,1,9,8,8,10
2,23,51,1,3,6,18,3,9
2,23,52,1,6,7,31,1,13
2,23,53,1,3,7,19,4,10
2,23,54,0,1,2,1,1,3
2,23,55,1,2,7,13,5,9
2,23,56,0,5,6,27,1,11
2,23,57,1,5,9,30,4,14
2,23,58,1,1,6,5,5,7
2,23,59,1,3,5,17,2,8
2,23,60,1,2,9,15,7,11
2,23,61,1,2,8,14,6,10
2,23,62,1,2,3,9,1,5
2,23,63,1,2,6,12,4,8
2,23,64,1,1,4,3,3,5
2,23,65,1,1,5,4,4,6
2,23,66,1,3,9,21,6,12
2,23,67,1,3,8,20,5,11
2,23,68,1,8,9,36,1,17
2,23,69,0,6,8,32,2,14
2,23,70,0,4,6,23,2,10
2,23,71,1,1,8,7,7,9
2,23,72,1,2,5,11,3,7
2,23,73,1,2,7,13,5,9
2,23,74,1,4,9,26,5,13
2,23,75,1,3,5,17,2,8
2,23,76,1,5,6,27,1,11
2,23,77,1,3,6,18,3,9
2,23,78,1,5,8,29,3,13
2,23,79,1,2,5,11,3,7
2,23,80,1,2,6,12,4,8
2,23,81,1,3,9,21,6,12
2,23,82,0,7,9,35,2,16
2,23,83,1,2,4,10,2,6
2,23,84,1,2,8,14,6,10
2,23,85,1,6,9,33,3,15
2,23,86,1,6,7,31,1,13
2,23,87,1,6,8,32,2,14
2,23,88,1,2,3,9,1,5
2,23,89,0,4,6,23,2,10
2,23,90,1,8,9,36,1,17
2,23,91,1,2,9,15,7,11
2,23,92,0,4,7,24,3,11
2,23,93,1,5,9,30,4,14
2,23,94,1,1,8,7,7,9
2,23,95,0,4,8,25,4,12
2,23,96,0,4,5,22,1,9
2,23,97,1,1,9,8,8,10
2,23,98,1,3,7,19,4,10
2,23,99,0,1,2,1,1,3
2,23,100,1,7,8,34,1,15
2,23,101,1,1,6,5,5,7
2,23,102,1,1,4,3,3,5
2,23,103,1,1,5,4,4,6
2,23,104,1,5,7,28,2,12
2,23,105,1,1,3,2,2,4
2,23,106,1,3,4,16,1,7
2,23,107,1,3,8,20,5,11
2,23,108,1,1,7,6,6,8
2,23,109,0,8,9,36,1,17
2,23,110,1,3,7,19,4,10
2,23,111,1,7,8,34,1,15
2,23,112,1,6,9,33,3,15
2,23,113,1,1,8,7,7,9
2,23,114,0,4,6,23,2,10
2,23,115,1,3,6,18,3,9
2,23,116,1,6,8,32,2,14
2,23,117,1,1,3,2,2,4
2,23,118,1,1,5,4,4,6
2,23,119,1,2,8,14,6,10
2,23,120,1,1,7,6,6,8
2,23,121,1,3,9,21,6,12
2,23,122,1,2,9,15,7,11
2,23,123,1,6,7,31,1,13
2,23,124,1,3,5,17,2,8
2,23,125,1,2,4,10,2,6
2,23,126,1,1,6,5,5,7
2,23,127,1,2,6,12,4,8
2,23,128,1,2,7,13,5,9
2,23,129,0,4,5,22,1,9
2,23,130,1,2,3,9,1,5
2,23,131,1,1,9,8,8,10
2,23,132,1,5,7,28,2,12
2,23,133,1,3,4,16,1,7
2,23,134,1,3,8,20,5,11
2,23,135,1,4,8,25,4,12
2,23,136,1,5,8,29,3,13
2,23,137,1,2,5,11,3,7
2,23,138,0,1,2,1,1,3
2,23,139,1,7,9,35,2,16
2,23,140,1,1,4,3,3,5
2,23,141,0,4,9,26,5,13
2,23,142,1,5,6,27,1,11
2,23,143,1,5,9,30,4,14
2,23,144,0,4,7,24,3,11
2,24,1,1,3,6,18,3,9
2,24,2,1,7,9,35,2,16
2,24,3,0,5,9,30,4,14
2,24,4,1,4,7,24,3,11
2,24,5,1,3,8,20,5,11
2,24,6,1,6,9,33,3,15
2,24,7,1,3,9,21,6,12
2,24,8,0,5,8,29,3,13
2,24,9,0,2,8,14,6,10
2,24,10,0,2,6,12,4,8
2,24,11,1,2,5,11,3,7
2,24,12,1,4,8,25,4,12
2,24,13,1,1,6,5,5,7
2,24,14,1,4,5,22,1,9
2,24,15,0,7,8,34,1,15
2,24,16,0,3,4,16,1,7
2,24,17,0,2,4,10,2,6
2,24,18,0,6,7,31,1,13
2,24,19,0,8,9,36,1,17
2,24,20,1,4,9,26,5,13
2,24,21,1,1,5,4,4,6
2,24,22,1,1,9,8,8,10
2,24,23,1,6,8,32,2,14
2,24,24,1,3,7,19,4,10
2,24,25,0,2,3,9,1,5
2,24,26,1,5,7,28,2,12
2,24,27,1,1,2,1,1,3
2,24,28,1,1,3,2,2,4
2,24,29,1,1,8,7,7,9
2,24,30,1,1,7,6,6,8
2,24,31,1,2,9,15,7,11
2,24,32,1,3,5,17,2,8
2,24,33,1,2,7,13,5,9
2,24,34,1,1,4,3,3,5
2,24,35,1,4,6,23,2,10
